Time,omegax,omegay,omegaz,Absolute (rad/s)
4.307313500E-2,-1.579040140E-1,1.270562261E-1,2.260134928E-2,2.039308295E-1
4.540532300E-2,-1.406475753E-1,1.267508119E-1,2.382304333E-2,1.908272678E-1
4.773745800E-2,-1.236965731E-1,1.143811494E-1,2.397575416E-2,1.701726368E-1
5.006964600E-2,-1.055238619E-1,9.575030953E-2,2.290677279E-2,1.443195325E-1
5.240178100E-2,-8.857285231E-2,7.727217674E-2,2.199050039E-2,1.195814433E-1
5.473391700E-2,-7.284353673E-2,5.757235363E-2,1.847812906E-2,9.466888613E-2
5.706605200E-2,-5.726693198E-2,4.031591862E-2,1.007897966E-2,7.075634688E-2
5.939824000E-2,-4.138490185E-2,2.550287358E-2,2.901524538E-3,4.869831113E-2
6.173037500E-2,-2.305948362E-2,1.542389300E-2,-3.054236295E-3,2.790993764E-2
6.406251000E-2,-5.803049076E-3,1.878355257E-2,-1.267508045E-2,2.339134221E-2
6.639469800E-2,1.160609815E-2,2.076880634E-2,-1.756185852E-2,2.957133250E-2
6.872683300E-2,2.779355086E-2,2.779355086E-2,-2.244863659E-2,4.526482325E-2
7.105896900E-2,4.398100078E-2,3.466558084E-2,-2.367033064E-2,6.079733117E-2
7.339115600E-2,5.650337040E-2,4.169032723E-2,-2.367033064E-2,7.410127397E-2
7.572329200E-2,6.413896382E-2,5.375456065E-2,-2.122694254E-2,8.633621812E-2
7.805547900E-2,7.177454978E-2,6.444438547E-2,-1.893626526E-2,9.830181563E-2
8.038761500E-2,7.818844914E-2,7.406523079E-2,-1.404948719E-2,1.086116020E-1
8.271975000E-2,7.834116369E-2,8.017370105E-2,-7.941014133E-3,1.123753531E-1
8.505193700E-2,7.711946964E-2,8.017370105E-2,-6.108472589E-4,1.112457104E-1
8.738407300E-2,7.207997888E-2,7.666133344E-2,6.719320081E-3,1.054401852E-1
8.971620800E-2,7.085828483E-2,7.437065244E-2,1.527118124E-2,1.038513334E-1
9.204839600E-2,6.474980712E-2,7.925742865E-2,2.382304333E-2,1.050800405E-1
9.438053100E-2,5.879404768E-2,8.796200156E-2,3.588727489E-2,1.117226488E-1
9.671266700E-2,5.405998230E-2,1.001789495E-1,4.917320609E-2,1.240012412E-1
9.904485400E-2,5.054761097E-2,1.099525094E-1,6.016845629E-2,1.351475432E-1
1.013769900E-1,4.459185153E-2,1.211004704E-1,6.734590977E-2,1.455652044E-1
1.037091250E-1,3.848337755E-2,1.235438585E-1,6.734590977E-2,1.458750386E-1
1.060413120E-1,2.962609194E-2,1.189625040E-1,6.612421572E-2,1.392917606E-1
1.083734480E-1,2.336490713E-2,1.105633527E-1,6.245913357E-2,1.291174551E-1
1.107055830E-1,1.328592747E-2,1.021642014E-1,6.001574174E-2,1.192305715E-1
1.130377710E-1,2.137965523E-3,9.880454093E-2,5.512896553E-2,1.131640890E-1
1.153699060E-1,-7.788302377E-3,1.014006436E-1,5.268557742E-2,1.145361002E-1
1.177020420E-1,-2.107422985E-2,1.113269106E-1,5.253286287E-2,1.248899750E-1
1.200342290E-1,-3.329117596E-2,1.236965731E-1,5.482354015E-2,1.393368765E-1
