"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
0.000000000E0,-3.530273438E-1,1.562606812E0,-1.623535156E-2,1.602071141E0
2.380371000E-3,-4.342803955E-1,1.579101562E0,-2.967834473E-2,1.637999393E0
4.760742000E-3,-5.136871338E-1,1.592544556E0,-4.739379883E-2,1.674012785E0
7.141113000E-3,-5.918884277E-1,1.596817017E0,-7.366943359E-2,1.704577273E0
9.521484000E-3,-6.706848145E-1,1.596817017E0,-1.054382324E-1,1.735154150E0
1.190185500E-2,-7.476654053E-1,1.589492798E0,-1.402435303E-1,1.762146180E0
1.428222600E-2,-8.258514404E-1,1.576660156E0,-1.763000488E-1,1.788566341E0
1.666259700E-2,-9.064788818E-1,1.557723999E0,-2.111053467E-1,1.814600090E0
1.907348600E-2,-9.871215820E-1,1.529632568E0,-2.428741455E-1,1.836619901E0
2.145385700E-2,-1.069580078E0,1.494201660E0,-2.746429443E-1,1.857974406E0
2.383422800E-2,-1.155105591E0,1.452041626E0,-3.076324463E-1,1.880779501E0
2.624511700E-2,-1.241851807E0,1.403167725E0,-3.412322998E-1,1.904603648E0
2.862548800E-2,-1.329208374E0,1.346359253E0,-3.791046143E-1,1.929559133E0
3.100585900E-2,-1.415954590E0,1.280380249E0,-4.188079834E-1,1.954405564E0
3.341674800E-2,-1.502090454E0,1.211975098E0,-4.609680176E-1,1.984351502E0
3.579711900E-2,-1.590652466E0,1.131942749E0,-5.018920898E-1,2.015779086E0
3.817749000E-2,-1.679229736E0,1.050094604E0,-5.403747559E-1,2.052928655E0
4.058837900E-2,-1.765975952E0,9.664001465E-1,-5.757904053E-1,2.093832586E0
4.296875000E-2,-1.853942871E0,8.814849854E-1,-6.063385010E-1,2.140506091E0
4.534912100E-2,-1.938232422E0,7.990264893E-1,-6.356658936E-1,2.190721201E0
4.776000900E-2,-2.021316528E0,7.226715088E-1,-6.619415283E-1,2.246361771E0
5.014038100E-2,-2.104400635E0,6.475219727E-1,-6.869812012E-1,2.306453968E0
5.252075200E-2,-2.184417725E0,5.791168213E-1,-7.095794678E-1,2.368662093E0
5.493164000E-2,-2.263214111E0,5.161895752E-1,-7.254638672E-1,2.432054196E0
5.731201100E-2,-2.338973999E0,4.575500488E-1,-7.364501953E-1,2.494496002E0
5.969238200E-2,-2.414108276E0,4.050140381E-1,-7.437896729E-1,2.558354592E0
6.210327100E-2,-2.489242554E0,3.591918945E-1,-7.474517822E-1,2.623743790E0
6.448364200E-2,-2.563766479E0,3.194885254E-1,-7.486724854E-1,2.689885122E0
6.686401300E-2,-2.634628296E0,2.864990234E-1,-7.529602051E-1,2.755049368E0
6.927490200E-2,-2.707321167E0,2.620697021E-1,-7.547760010E-1,2.822756674E0
7.165527300E-2,-2.780029297E0,2.412872314E-1,-7.615051270E-1,2.892520091E0
7.403564400E-2,-2.853317261E0,2.278594971E-1,-7.682189941E-1,2.963696976E0
7.644653300E-2,-2.923583984E0,2.199096680E-1,-7.773895264E-1,3.033156450E0
7.882690400E-2,-2.996871948E0,2.186889648E-1,-7.835083008E-1,3.105310225E0
8.120727500E-2,-3.067733765E0,2.229766846E-1,-7.902221680E-1,3.175714113E0
8.361816400E-2,-3.141662598E0,2.351837158E-1,-7.914428711E-1,3.248343743E0
