"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
0.000000000E0,-5.955047607E-1,-5.371398926E-1,9.172210693E-1,1.218375835E0
2.410889000E-3,-5.955047607E-1,-5.371398926E-1,9.172210693E-1,1.218375835E0
4.821777000E-3,-5.955047607E-1,-5.371398926E-1,9.172210693E-1,1.218375835E0
7.232666000E-3,-5.955047607E-1,-5.371398926E-1,9.172210693E-1,1.218375835E0
9.613037000E-3,-1.739501953E-3,-1.423645020E-2,-3.634643555E-2,3.907385006E-2
1.199340800E-2,1.922607422E-3,-5.691528320E-3,-3.205871582E-2,3.261673150E-2
1.437377900E-2,6.195068359E-3,9.567260742E-3,-2.412414551E-2,2.668118713E-2
1.675415000E-2,5.584716797E-3,2.301025391E-2,-1.802062988E-2,2.975573807E-2
1.913452200E-2,1.296997070E-3,2.973937988E-2,-1.741027832E-2,3.448522449E-2
2.151489300E-2,-5.416870117E-3,3.218078613E-2,-1.617431641E-2,3.642188887E-2
2.389526400E-2,-9.674072266E-3,3.096008301E-2,-1.495361328E-2,3.571729223E-2
2.627563500E-2,-1.211547852E-2,3.096008301E-2,-1.435852051E-2,3.621434344E-2
2.865600600E-2,-1.211547852E-2,2.729797363E-2,-1.435852051E-2,3.313806415E-2
3.106689500E-2,-1.579284668E-2,2.178955078E-2,-1.373291016E-2,3.021243702E-2
3.344726600E-2,-1.823425293E-2,1.324462891E-2,-1.373291016E-2,2.639130531E-2
3.582763700E-2,-2.006530762E-2,4.089355469E-3,-1.129150391E-2,2.338455598E-2
3.823852500E-2,-2.128601074E-2,-4.470825195E-3,-8.850097656E-3,2.348205186E-2
4.061889700E-2,-2.250671387E-2,-1.118469238E-2,-4.577636719E-3,2.554612046E-2
4.299926800E-2,-2.311706543E-2,-1.362609863E-2,3.051757812E-4,2.683584190E-2
4.541015600E-2,-2.311706543E-2,-1.728820801E-2,3.967285156E-3,2.913795123E-2
4.779052700E-2,-2.311706543E-2,-1.913452148E-2,8.850097656E-3,3.128662422E-2
