Time,accX,accY,accZ,wx,wy,wz
0.0,-357.0,-112.0,-16151.0,38.0,-32.0,-28.0
0.010489999999999888,-387.0,-105.0,-16137.0,34.0,-30.0,-28.0
0.020014999999999894,-376.0,-112.0,-16162.0,27.0,-32.0,-28.0
0.030427999999999678,-380.0,-122.0,-16213.0,31.0,-33.0,-27.0
0.04008599999999962,-375.0,-138.0,-16251.0,33.0,-36.0,-31.0
0.05043600000000037,-343.0,-162.0,-16203.0,38.0,-31.0,-33.0
0.06064999999999987,-321.0,-173.0,-16145.0,38.0,-34.0,-29.0
0.07069399999999959,-273.0,-200.0,-16152.0,36.0,-32.0,-29.0
0.08049399999999984,-311.0,-216.0,-16130.0,32.0,-30.0,-28.0
0.08982199999999985,-342.0,-191.0,-16163.0,31.0,-32.0,-27.0
0.10066600000000037,-292.0,-201.0,-16210.0,32.0,-31.0,-28.0
0.10985599999999973,-314.0,-159.0,-16213.0,34.0,-33.0,-26.0
0.12045800000000018,-383.0,-178.0,-16224.0,35.0,-40.0,-29.0
0.13004499999999997,-384.0,-132.0,-16166.0,39.0,-32.0,-24.0
0.14046999999999965,-380.0,-96.0,-16126.0,29.0,-32.0,-28.0
0.15002199999999988,-414.0,-116.0,-16132.0,36.0,-36.0,-33.0
0.16049399999999991,-400.0,-135.0,-16187.0,29.0,-33.0,-29.0
0.17003199999999996,-396.0,-103.0,-16235.0,25.0,-33.0,-30.0
0.18050199999999972,-401.0,-95.0,-16205.0,34.0,-31.0,-29.0
0.19005700000000036,-398.0,-106.0,-16177.0,37.0,-33.0,-31.0
0.2004999999999999,-334.0,-168.0,-16181.0,38.0,-30.0,-29.0
0.20990999999999982,-364.0,-160.0,-16177.0,40.0,-32.0,-33.0
0.220472,-318.0,-161.0,-16147.0,33.0,-31.0,-30.0
0.22992599999999985,-307.0,-192.0,-16170.0,26.0,-27.0,-31.0
0.24057200000000023,-282.0,-201.0,-16203.0,29.0,-33.0,-33.0
0.2499419999999999,-282.0,-181.0,-16207.0,35.0,-34.0,-22.0
0.2605719999999998,-337.0,-186.0,-16193.0,37.0,-34.0,-24.0
0.26985999999999954,-323.0,-181.0,-16161.0,37.0,-30.0,-26.0
0.2805460000000002,-329.0,-162.0,-16142.0,40.0,-37.0,-25.0
