Time,Force,accX,accY,accZ,wx,wy,wz
0.0,1599981.0,-254.0,-154.0,-8090.0,435.0,-170.0,200.0
0.01052900000000001,1599980.0,-253.0,-101.0,-8092.0,363.0,-176.0,210.0
0.020000999999999713,1600121.0,-266.0,-70.0,-8100.0,240.0,-189.0,218.0
0.029726999999999393,1600222.0,-276.0,-81.0,-8104.0,100.0,-188.0,232.0
0.039979999999999905,1600281.0,-247.0,-88.0,-8105.0,-47.0,-187.0,241.0
0.05058499999999988,1600274.0,-260.0,-114.0,-8104.0,-183.0,-177.0,249.0
0.059804999999999886,1600275.0,-276.0,-164.0,-8096.0,-223.0,-182.0,250.0
0.06988799999999973,1600482.0,-252.0,-206.0,-8094.0,-208.0,-183.0,252.0
0.0797939999999997,1600847.0,-257.0,-241.0,-8087.0,-125.0,-192.0,253.0
0.08994899999999983,1601066.0,-284.0,-284.0,-8078.0,1.0,-207.0,255.0
0.09975500000000004,1601417.0,-264.0,-287.0,-8074.0,164.0,-228.0,249.0
0.10995099999999969,1601416.0,-255.0,-271.0,-8099.0,314.0,-244.0,247.0
0.12056099999999947,1602033.0,-271.0,-247.0,-8109.0,440.0,-255.0,244.0
0.12998699999999985,1602432.0,-251.0,-216.0,-8103.0,509.0,-259.0,241.0
0.13975699999999946,1602821.0,-246.0,-137.0,-8106.0,513.0,-249.0,238.0
0.14996099999999934,1603158.0,-259.0,-119.0,-8099.0,427.0,-242.0,238.0
0.15974500000000003,1603159.0,-232.0,-87.0,-8119.0,307.0,-232.0,234.0
0.1699630000000001,1603442.0,-238.0,-69.0,-8131.0,149.0,-223.0,236.0
0.1797550000000001,1603565.0,-245.0,-85.0,-8125.0,-4.0,-219.0,237.0
0.18997699999999984,1603532.0,-258.0,-120.0,-8106.0,-124.0,-223.0,240.0
0.19978099999999976,1603533.0,-257.0,-161.0,-8100.0,-196.0,-225.0,235.0
0.20974699999999924,1603696.0,-227.0,-195.0,-8091.0,-200.0,-234.0,234.0
0.2199770000000001,1603827.0,-248.0,-233.0,-8104.0,-144.0,-246.0,227.0
0.22976699999999983,1603800.0,-246.0,-263.0,-8084.0,4.0,-251.0,213.0
0.23997699999999966,1603759.0,-256.0,-293.0,-8099.0,148.0,-245.0,203.0
0.24978899999999982,1603758.0,-228.0,-272.0,-8105.0,292.0,-238.0,194.0
0.2599929999999997,1603627.0,-192.0,-432.0,-7988.0,510.0,-237.0,1.0
0.26975699999999936,1603506.0,-185.0,-314.0,-7983.0,1044.0,-215.0,-695.0
